Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash
122,Emory,Cross & Taylor,1266.94502452007,110.40955457739227,15,1487.7641336748545,7c36a88f3d18e003fa207b6f5ea8176f2d9437cbaa5f6990f94ab595acf48dfd
123,Liberty,Koenig & Tooley,1266.5837769774432,100.50594191559492,21,1467.595660808633,0589c2b24f76e1549381aab208ccf42b4cade987737f1c30228daba6a73c654d
124,Macalester,Harrison & Winters,1260.9421078465489,97.99843030574236,21,1456.9389684580335,0b289491ad764e85a8ba962fd36cb3f31c8359609b44629239986cef2bb05f6e
125,Kansas,Chidambaranathan & Suleman,1260.9406467841393,101.75424718741367,20,1464.4491411589665,a5769dafefe350c3ba47d007413a8917a705aaff34f254f2cdda85bfc1b28f56
126,Michigan,Hwang & McIlhenny,1259.8174239130126,102.53093977856673,15,1464.879303470146,b0a8a971c7a0aa0b6f23069c9d4c73344263550741aa18ccfe28df82dd6e8595
127,Wake Forest,Patel & Sayoto,1246.539189227147,102.03511185637068,17,1450.6094129398884,cf792c5e07ce0c2624c32a8c79c30e2abb910fcba21a8889bf92eab0238cb3da
128,Michigan,Chamarthy & Sharma,1244.252077960661,132.36751703641187,8,1508.9871120334847,f0621b9c58a146526bfc976f0779c30904c39bc0463d001dac064999bbda39f2
129,Emory,Cannaday & Stearns,1242.9614970127732,163.2769950792251,6,1569.5154871712234,7645c5003edf559b6604b991919be237bc6473b9e81c01419c1d7f509f63de7b
130,Missouri State,Neal & Siever,1239.8105595497486,88.60179773721559,27,1417.01415502418,b5078863f0e8b2eaa6e6769278510ef60a03817686f7071b5da85657d221f087
131,Michigan,Almand & Moon,1239.7915158115122,92.93334048052952,23,1425.6581967725713,73a08f1e677d3b9b2fff1365736e756dc7005a74311b5db4c035e80e40df5b1a
132,Wake Forest,Kampine & Sampat,1238.566208571353,166.26658752859606,6,1571.0993836285452,dfb0ca4c7aba0156bd7e8c33d966a6c884005ba5e209ab75cb1e4b0ad4a996b7
133,Kansas,Blaser & Pace,1237.6627560755796,113.82308977769108,13,1465.3089356309617,7023bf2de1d40d84d3c2d43541dd3b57685d8fa16e3c40b844212fbff4d09035
134,Iowa,Bilicki & Sanderson,1236.9996277118717,74.3448350750758,44,1385.6892978620233,f01eb3c04b658d70cd262966b81c680c614329f68384cffbd1d23741a61611ee
135,Southern California,Bhadani & Bradley,1236.4249948054933,220.18860211768742,3,1676.8021990408681,f45266d4076ff3c8f911d7f33b377fe30a820068fb5834e65ab39ff857f459ad
136,Georgetown,Varkantham & Zaidi,1232.3055629512392,129.2864339608016,8,1490.8784308728423,504066ff088f569c1e830a14d28008d33e01e43632d03233d4c1546dfd5b4451
137,Kansas,Bauman & Persson,1231.9163243339622,120.32960691886692,14,1472.575538171696,b84231dc8eef57def6526055fa30bd4506b2a2af56ba38f7391e22bbba31e2d5
138,Michigan,Baba & Ledesma,1227.0638875933278,73.26346183755699,49,1373.5908112684417,74c80599c6f6a69dbba28bdd20593c7e595eb913a769995542c2a61ad7080467
139,Cal State Fullerton,Ayyala & Meza,1219.4546745473554,144.54986941100984,7,1508.554413369375,bf7e546df25b23eb5fd949b36ef76d44e7aaead2b241324ddebed2c71e5a2fb7
